Country,Year,SugarPerPerson,Income,FoodSupply
Afghanistan,1990,9.61,1.38,2040
Afghanistan,1991,10.8,1.32,1890
Afghanistan,1992,9.12,0.907,1910
Afghanistan,1993,8.22,0.672,1820
Afghanistan,1994,8.45,0.993,1840
Afghanistan,1995,7.24,0.941,1840
Afghanistan,1996,7.85,0.895,1870
Afghanistan,1997,8.34,0.855,1900
Afghanistan,1998,8.9,0.814,1850
Afghanistan,1999,8.74,0.788,1790
Afghanistan,2000,8.4,0.768,1740
Afghanistan,2001,9.46,1.62,1830
Afghanistan,2002,12.2,1.69,1890
Afghanistan,2003,15.5,1.64,1970
Afghanistan,2004,18.6,1.76,1950
Afghanistan,2005,19.7,1.8,1970
Afghanistan,2006,20.8,1.99,2050
Afghanistan,2007,23.4,2.02,2040
Afghanistan,2008,23.3,2.4,2080
Afghanistan,2009,24.3,2.67,2100
Afghanistan,2010,24.8,2.6,2110
Afghanistan,2011,25.4,2.83,2100
Afghanistan,2012,24.5,2.89,2090
Angola,1990,31.5,4.96,1610
Angola,1991,28.5,4.52,1630
Angola,1992,25.3,3.33,1560
Angola,1993,20.8,3.26,1640
Angola,1994,23.5,3.63,1690
Angola,1995,26.1,4,1730
Angola,1996,31.7,4.15,1730
Angola,1997,29.1,4.21,1750
Angola,1998,34.9,4.16,1810
Angola,1999,26.5,4.15,1790
Angola,2000,29.4,4,1830
Angola,2001,36.3,4.14,1920
Angola,2002,41.5,3.87,1980
Angola,2003,39.3,3.88,2030
Angola,2004,37.1,4,2080
Angola,2005,38.3,3.98,2120
Angola,2006,39.5,4.01,2170
Angola,2007,44.1,3.92,2250
Angola,2008,40.2,3.6,2300
Angola,2009,38.9,3.63,2350
Angola,2010,40.1,3.62,2410
Angola,2011,42.7,3.73,2380
Angola,2012,44.7,3.76,2470
Albania,1990,50.2,4.75,2570
Albania,1991,51.2,4.43,2650
Albania,1992,76.1,4.89,2800
Albania,1993,97.5,5.32,2880
Albania,1994,54.4,6.07,2720
Albania,1995,63,6.66,2840
Albania,1996,61.7,5.54,2730
Albania,1997,57,5.31,2730
Albania,1998,56.5,5.54,2800
Albania,1999,63.4,5.96,2730
Albania,2000,66.6,6.3,2800
Albania,2001,70.7,6.81,2860
Albania,2002,67,7.22,2770
Albania,2003,55,7.39,2790
Albania,2004,58.6,7.7,2870
Albania,2005,67.2,7.85,2860
Albania,2006,75.5,8.15,2860
Albania,2007,102,8.43,2950
Albania,2008,117,8.32,2990
Albania,2009,113,8.27,3080
Albania,2010,122,8.2,3130
Albania,2011,129,7.99,3180
Albania,2012,131,8.2,3190
United Arab Emirates,1990,97.7,135,3070
United Arab Emirates,1991,90.3,131,3200
United Arab Emirates,1992,101,126,3230
United Arab Emirates,1993,96.7,127,3320
United Arab Emirates,1994,104,129,3260
United Arab Emirates,1995,104,130,3250
United Arab Emirates,1996,98.6,133,3260
United Arab Emirates,1997,96.9,127,3310
United Arab Emirates,1998,92.6,124,3380
United Arab Emirates,1999,101,130,3300
United Arab Emirates,2000,102,210,3320
United Arab Emirates,2001,103,211,3360
United Arab Emirates,2002,105,202,3340
United Arab Emirates,2003,105,205,3290
United Arab Emirates,2004,110,187,3210
United Arab Emirates,2005,103,187,3200
United Arab Emirates,2006,88.9,180,3190
United Arab Emirates,2007,89.7,175,3150
United Arab Emirates,2008,94.1,113,3170
United Arab Emirates,2009,107,76.1,3160
