Country,Year,Income,SugarPerPerson,Food Supply
Afghanistan,1993,0.672,8.22,1820
Afghanistan,2000,0.768,8.4,1740
Afghanistan,1999,0.788,8.74,1790
Afghanistan,1998,0.814,8.9,1850
Afghanistan,1997,0.855,8.34,1900
Afghanistan,1996,0.895,7.85,1870
Afghanistan,1992,0.907,9.12,1910
Afghanistan,1995,0.941,7.24,1840
Afghanistan,1994,0.993,8.45,1840
Afghanistan,1991,1.32,10.8,1890
Afghanistan,1990,1.38,9.61,2040
Afghanistan,2001,1.62,9.46,1830
Afghanistan,2003,1.64,15.5,1970
Afghanistan,2002,1.69,12.2,1890
Afghanistan,2004,1.76,18.6,1950
Afghanistan,2005,1.8,19.7,1970
Afghanistan,2006,1.99,20.8,2050
Afghanistan,2007,2.02,23.4,2040
Afghanistan,2008,2.4,23.3,2080
Afghanistan,2010,2.6,24.8,2110
Afghanistan,2009,2.67,24.3,2100
Afghanistan,2011,2.83,25.4,2100
Afghanistan,2012,2.89,24.5,2090
Bangladesh,1990,2.4,20.2,2120
Bangladesh,1991,2.51,20.1,2110
Bangladesh,1992,2.66,20.8,2010
Bangladesh,1993,2.86,20,2000
Bangladesh,1996,2.86,22.6,2100
Bangladesh,1997,2.86,20.7,2160
Bangladesh,1994,2.89,19.4,2040
Bangladesh,1995,2.89,18.9,2050
Bangladesh,1998,2.92,18.6,2270
Bangladesh,1999,3.01,18.1,2260
Bangladesh,2001,3.05,18.5,2310
Bangladesh,2000,3.07,22.3,2330
Bangladesh,2002,3.1,17.1,2350
Bangladesh,2003,3.22,21.9,2380
Bangladesh,2004,3.36,28.7,2370
Bangladesh,2005,3.42,24.6,2370
Bangladesh,2006,3.5,23.7,2420
Bangladesh,2007,3.54,22.7,2390
Bangladesh,2008,3.55,22.8,2430
Bangladesh,2009,3.6,21.9,2440
Bangladesh,2010,3.67,22.6,2430
Bangladesh,2011,3.72,22.3,2440
Bangladesh,2012,3.78,22.1,2450
Brazil,1991,7.49,137,2770
Brazil,1990,8.83,130,2780
Brazil,1992,9.42,138,2770
Brazil,1993,10.8,142,2820
Brazil,1998,12.1,107,2870
Brazil,1996,12.5,138,2850
Brazil,1994,12.6,144,2810
Brazil,1995,12.7,141,2840
Brazil,1997,12.9,136,2850
Brazil,1999,13,109,2880
Brazil,2002,13.1,114,3070
Brazil,2003,13.2,115,3080
Brazil,2000,13.6,109,2890
Brazil,2001,13.8,108,2930
Brazil,2004,13.8,115,3080
Brazil,2005,14.9,115,3100
Brazil,2006,15.4,114,3110
Brazil,2007,16.2,116,3180
Brazil,2008,16.7,115,3170
Brazil,2009,17.4,117,3230
Brazil,2010,18,116,3290
Brazil,2011,19.8,117,3250
Brazil,2012,20.6,117,3260
China,1990,1.95,21.3,2430
China,1991,2.06,18.9,2460
China,1992,2.19,14,2540
China,1993,2.39,15.7,2600
China,1994,2.58,18.1,2690
China,1995,2.77,20.3,2700
China,1996,2.84,22.8,2730
China,1997,2.92,22.3,2770
China,1998,3.05,17.1,2760
China,1999,3.35,15.7,2810
China,2000,3.56,16.5,2820
China,2001,3.87,15.7,2830
China,2002,4.13,17.4,2830
China,2003,4.5,16.7,2860
China,2004,5.03,16.9,2880
China,2005,5.36,17.2,2880
China,2006,5.83,17.7,2920
China,2007,6.19,17.5,2980
China,2008,6.67,18,2990
China,2009,7.28,17.9,3040
China,2010,7.81,18.8,3080
China,2011,8.53,18.9,3100
China,2012,9.6,18.8,3110
Cuba,1992,4.24,160,2320
Cuba,1993,4.28,151,2360
Cuba,1994,4.57,160,2330
Cuba,1995,5.19,167,2450
Cuba,1991,5.43,161,2500
Cuba,1997,5.45,177,2650
Cuba,1996,5.47,183,2560
Cuba,1998,5.78,187,2900
Cuba,1990,6.36,162,2740
Cuba,1999,6.4,180,3030
Cuba,2000,6.75,170,3080
Cuba,2001,6.97,156,3150
Cuba,2002,7.19,148,3250
Cuba,2003,7.28,170,3350
Cuba,2004,7.53,148,3250
Cuba,2005,8.65,139,3260
Cuba,2006,9,137,3250
Cuba,2007,9.59,122,3120
Cuba,2008,9.97,162,3230
Cuba,2009,10.5,165,3160
Cuba,2010,11.1,158,3290
Cuba,2011,11.4,150,3350
Cuba,2012,11.8,146,3410
Haiti,1993,1.63,43.6,1700
Haiti,1991,1.72,50.4,1720
Haiti,1992,1.86,45.3,1720
Haiti,1990,1.87,52.6,1750
Haiti,1994,1.9,56,1760
Haiti,1995,2.15,51.7,1810
Haiti,1996,2.18,50.9,1840
Haiti,1997,2.22,53.4,1920
Haiti,1998,2.38,65.6,1960
Haiti,2000,2.69,60.9,1900
Haiti,1999,2.72,60.1,1960
Haiti,2001,2.72,63.9,1900
Haiti,2003,2.77,60.8,1890
Haiti,2002,2.8,58.6,1870
Haiti,2004,2.88,60.1,1880
Haiti,2005,2.92,60.3,1940
Haiti,2006,3.03,59.7,1970
Haiti,2007,3.06,58.7,2010
Haiti,2009,3.13,47.9,2170
Haiti,2008,3.42,56.6,2060
Haiti,2010,3.47,49.5,2100
Haiti,2011,4.28,51,2080
Haiti,2012,4.42,45.8,2090
India,1990,2.43,57.3,2300
India,1991,2.44,58,2330
India,1992,2.45,51.9,2270
India,1993,2.47,57.3,2290
India,1994,2.51,57.9,2320
India,1995,2.56,56.9,2340
India,1996,2.57,62.3,2370
India,1997,2.61,62.9,2360
India,1998,2.65,62.3,2400
India,1999,2.67,63.7,2380
India,2000,2.71,64.1,2330
India,2001,2.72,62.9,2290
India,2002,2.77,66.2,2280
India,2003,2.81,54.7,2260
India,2004,2.88,54.2,2270
India,2005,2.93,55.1,2330
India,2006,3.01,56.2,2400
India,2007,3.05,62.2,2430
India,2008,3.11,62.4,2420
India,2009,3.28,59.9,2440
India,2010,3.58,60.9,2460
India,2011,3.7,63.6,2440
India,2012,3.85,64.2,2460
Indonesia,1997,2.01,45.1,2490
Indonesia,1991,2.26,37.4,2420
Indonesia,1990,2.28,38.2,2360
Indonesia,1992,2.28,38.3,2430
Indonesia,1993,2.38,42.3,2470
Indonesia,1996,2.54,45.1,2500
Indonesia,1994,2.56,42.9,2550
Indonesia,1999,2.71,44.4,2440
Indonesia,1995,2.72,43,2550
Indonesia,1998,2.75,42.3,2470
Indonesia,2000,2.85,45.1,2420
Indonesia,2005,3.5,39.6,2480
Indonesia,2001,3.53,45.1,2450
Indonesia,2003,3.57,44.9,2470
Indonesia,2002,3.59,45.2,2470
Indonesia,2004,3.73,46.5,2470
Indonesia,2006,3.95,39.1,2520
Indonesia,2007,3.97,37.9,2540
Indonesia,2008,4.15,39,2600
Indonesia,2009,4.63,39.3,2650
Indonesia,2010,5.18,40.5,2710
Indonesia,2011,5.32,44,2770
Indonesia,2012,5.63,46.5,2780
Iraq,1990,2.07,46.5,2360
Iraq,1991,2.66,48.6,2250
Iraq,1994,3.36,38.7,2200
Iraq,1992,3.37,47.1,2260
Iraq,1993,3.39,47.5,2230
Iraq,1995,3.62,33.4,2180
Iraq,2002,3.64,51.5,2250
Iraq,1996,4.25,41.5,2100
Iraq,2003,5.47,74.6,2370
Iraq,1997,5.56,42.4,2120
Iraq,2004,5.58,64.5,2350
Iraq,2001,5.6,51.3,2270
Iraq,2006,5.99,61.2,2380
Iraq,2005,6.03,69.7,2370
Iraq,2007,6.1,50.8,2360
Iraq,2008,6.12,43.5,2440
Iraq,2009,6.17,52.5,2510
Iraq,2000,6.2,49.3,2250
Iraq,2010,6.23,51.9,2490
Iraq,1999,6.24,47.2,2180
Iraq,1998,6.34,47.2,2150
Iraq,2011,6.37,50.4,2530
Iraq,2012,6.59,52.8,2550
Madagascar,2012,1.5,20.3,2050
Madagascar,2011,1.51,20.1,2060
Madagascar,2010,1.55,22.2,2090
Madagascar,2009,1.61,21.8,2070
Madagascar,2001,1.68,12.3,1950
Madagascar,2008,1.69,22.1,2070
Madagascar,2002,1.79,19.1,1980
Madagascar,2003,1.82,19,1980
Madagascar,2005,1.84,18.7,2080
Madagascar,2004,1.85,18.8,2060
Madagascar,2006,1.85,19.4,2100
Madagascar,2007,1.86,18.9,2060
Madagascar,1995,1.9,23.8,2020
Madagascar,1996,1.91,22.6,2020
Madagascar,1994,1.92,23.8,2030
Madagascar,1997,1.92,23.6,2010
Madagascar,1993,1.95,24.1,2030
Madagascar,1998,1.95,23.1,2010
Madagascar,1999,1.96,22.2,2010
Madagascar,2000,1.98,16.4,1990
Madagascar,1992,2.02,24,2100
Madagascar,1991,2.05,22.1,2100
Madagascar,1990,2.09,22.6,2100
Mexico,1995,7.6,131,2990
Mexico,1996,8.29,123,2970
Mexico,1997,8.89,127,2970
Mexico,1994,8.9,130,2970
Mexico,1998,9.56,128,2980
Mexico,1990,10.6,132,2990
Mexico,1999,10.7,132,3040
Mexico,2001,10.7,137,3100
Mexico,1992,10.8,135,3010
Mexico,2000,10.8,137,3090
Mexico,2002,10.9,138,3110
Mexico,1991,11,133,3000
Mexico,1993,11.2,132,3010
Mexico,2003,11.5,136,3110
Mexico,2008,11.5,136,3040
Mexico,2009,11.6,136,3040
Mexico,2004,11.7,127,3070
Mexico,2005,12.3,133,3080
Mexico,2010,12.3,134,3030
Mexico,2012,12.3,133,3070
Mexico,2006,12.5,133,3100
Mexico,2007,12.5,134,3080
Mexico,2011,12.6,139,3050
North Korea,1997,2.68,4.71,2120
North Korea,1996,2.72,5.89,2130
North Korea,1999,2.81,7.31,2150
North Korea,1998,2.82,6.71,2110
North Korea,2000,2.89,7.93,2100
North Korea,2001,2.9,7.5,2180
North Korea,2002,2.93,8.51,2190
North Korea,1995,2.94,5.95,2080
North Korea,2006,2.96,13.4,2110
North Korea,2003,2.97,8.33,2210
North Korea,2009,2.97,12.9,2090
North Korea,2010,2.98,11.4,2100
North Korea,2008,3,13.5,2090
North Korea,2011,3,10.8,2110
North Korea,2005,3.01,7.36,2140
North Korea,2012,3.02,10.8,2090
North Korea,2007,3.04,15.5,2100
North Korea,2004,3.06,6.42,2180
North Korea,1994,3.08,6.42,2100
North Korea,1993,3.26,9.64,2250
North Korea,1992,3.38,13.1,2280
North Korea,1991,3.59,11.4,2220
North Korea,1990,3.92,12.7,2370
Norway,1990,39.5,115,3220
Norway,1991,39.6,118,3220
