country,Year,totalSulfurEmissions
Aruba,1970,61.6
Aruba,1971,56.8
Aruba,1972,64.5
Aruba,1973,65.1
Aruba,1974,39
Aruba,1975,48.6
Aruba,1976,42.3
Aruba,1977,40.7
Aruba,1978,36.7
Aruba,1979,50.2
Aruba,1980,40.6
Aruba,1981,33.3
Aruba,1982,26
Aruba,1983,23
Aruba,1984,10
Aruba,1985,9.38
Aruba,1986,11.4
Aruba,1987,12.1
Aruba,1988,12.3
Aruba,1989,13.2
Aruba,1990,13.4
Aruba,1991,13.6
Aruba,1992,13.8
Aruba,1993,13.9
Aruba,1994,14.1
Aruba,1995,14.2
Aruba,1996,14.4
Aruba,1997,14.6
Aruba,1998,14.8
Aruba,1999,15.0
Afghanistan,1970,10.5
Afghanistan,1971,5.73
Afghanistan,1972,9.11
Afghanistan,1973,8.96
Afghanistan,1974,11.7
Afghanistan,1975,12.5
Afghanistan,1976,13.3
Afghanistan,1977,16.9
Afghanistan,1978,10.3
Afghanistan,1979,9.29
Afghanistan,1980,9.76
Afghanistan,1981,11.3
Afghanistan,1982,11.3
Afghanistan,1983,11.6
Afghanistan,1984,11.8
Afghanistan,1985,60.8
Afghanistan,1986,60.9
Afghanistan,1987,58.3
Afghanistan,1988,58.4
Afghanistan,1989,57.9
Afghanistan,1990,59.4
Afghanistan,1991,61
Afghanistan,1992,62.6
Afghanistan,1993,64.2
Afghanistan,1994,65.9
Afghanistan,1995,67.7
Afghanistan,1996,69.4
Afghanistan,1997,71.3
Afghanistan,1998,73.2
Afghanistan,1999,75.1
Angola,1970,134
Angola,1971,128
Angola,1972,141
Angola,1973,135
Angola,1974,77.4
Angola,1975,64.2
Angola,1976,68.9
Angola,1977,68.5
Angola,1978,70.8
Angola,1979,77.2
Angola,1980,67.8
Angola,1981,62.5
Angola,1982,62.6
Angola,1983,66.1
Angola,1984,69.8
Angola,1985,67.5
Angola,1986,66.2
Angola,1987,63.6
Angola,1988,62.5
Angola,1989,64
Angola,1990,64.6
Angola,1991,66.6
Angola,1992,62.6
Angola,1993,69.5
Angola,1994,64.9
Angola,1995,62.3
Angola,1996,61.4
Angola,1997,60.6
Angola,1998,59.0
Angola,1999,49.6
Albania,1970,24.4
Albania,1971,26.6
Albania,1972,25.4
Albania,1973,27.2
Albania,1974,30.5
Albania,1975,27.4
Albania,1976,30.2
Albania,1977,31
Albania,1978,40.4
Albania,1979,46.5
Albania,1980,48.8
Albania,1981,50
Albania,1982,49.8
Albania,1983,44.6
Albania,1984,47.1
Albania,1985,46.6
Albania,1986,49.1
Albania,1987,50.3
Albania,1988,49.9
Albania,1989,48.8
Albania,1990,34.2
Albania,1991,12.5
Albania,1992,9.91
Albania,1993,8.32
Albania,1994,7.49
Albania,1995,7.47
Albania,1996,5.36
