Country,Year,LifeExpectancy,FoodSupply
Afghanistan,1960,45.3,3000
Afghanistan,1961,45.5,2920
Afghanistan,1962,45.7,2700
Afghanistan,1963,45.9,2950
Afghanistan,1964,46.1,2960
Afghanistan,1965,46.3,2740
Afghanistan,1966,46.5,2970
Afghanistan,1967,46.7,2920
Afghanistan,1968,46.9,2940
Afghanistan,1969,47.1,2530
Afghanistan,1970,47.3,2510
Afghanistan,1971,47.3,2660
Afghanistan,1972,47.3,2720
Afghanistan,1973,47.4,2710
Afghanistan,1974,47.5,2750
Afghanistan,1975,47.7,2820
Afghanistan,1976,47.9,2490
Afghanistan,1977,46.4,2620
Afghanistan,1978,44.7,2620
Afghanistan,1979,43.7,2480
Afghanistan,1980,44.3,2480
Afghanistan,1981,44.1,2480
Afghanistan,1982,42.3,2520
Afghanistan,1983,39.9,2450
Afghanistan,1984,42,2400
Afghanistan,1985,43.3,2400
Afghanistan,1986,45.9,2730
Afghanistan,1987,48.5,2520
Afghanistan,1988,52.7,2460
Afghanistan,1989,53.8,2310
Afghanistan,1990,53.8,2040
Afghanistan,1991,54.2,1890
Afghanistan,1992,54.4,1910
Afghanistan,1993,53.9,1820
Afghanistan,1994,54.3,1840
Afghanistan,1995,54.7,1840
Afghanistan,1996,54.5,1870
Afghanistan,1997,53.3,1900
Afghanistan,1998,54.7,1850
Afghanistan,1999,54.7,1790
Afghanistan,2000,54.8,1740
Afghanistan,2001,55.5,1830
Afghanistan,2002,56.5,1890
Afghanistan,2003,57.1,1970
Afghanistan,2004,57.6,1950
Afghanistan,2005,58,1970
Afghanistan,2006,58.5,2050
Afghanistan,2007,59.2,2040
Afghanistan,2008,59.9,2080
Afghanistan,2009,60.5,2100
Afghanistan,2010,61,2110
Brazil,1960,53,2210
Brazil,1961,53.5,2270
Brazil,1962,54,2240
Brazil,1963,54.4,2310
Brazil,1964,54.8,2330
Brazil,1965,55.2,2330
Brazil,1966,55.6,2370
Brazil,1967,56.1,2460
Brazil,1968,56.5,2430
Brazil,1969,56.9,2410
Brazil,1970,57.5,2430
Brazil,1971,58,2400
Brazil,1972,58.6,2390
Brazil,1973,59.2,2480
Brazil,1974,59.8,2490
Brazil,1975,60.4,2520
Brazil,1976,61.1,2550
Brazil,1977,61.7,2600
Brazil,1978,62.3,2700
Brazil,1979,62.7,2700
Brazil,1980,63.3,2600
Brazil,1981,63.9,2640
Brazil,1982,64.1,2600
Brazil,1983,64.2,2600
Brazil,1984,64.6,2630
Brazil,1985,65.1,2680
Brazil,1986,65.7,2690
Brazil,1987,66.1,2690
Brazil,1988,66.7,2740
Brazil,1989,67.3,2720
Brazil,1990,67.9,2780
Brazil,1991,68.3,2770
Brazil,1992,68.4,2770
Brazil,1993,68.8,2820
Brazil,1994,69.2,2810
Brazil,1995,69.5,2840
Brazil,1996,70.1,2850
Brazil,1997,70.4,2850
Brazil,1998,70.8,2870
Brazil,1999,71.2,2880
Brazil,2000,71.5,2890
Brazil,2001,71.8,2930
Brazil,2002,72,3070
Brazil,2003,72.3,3080
Brazil,2004,72.8,3080
Brazil,2005,73.1,3100
Brazil,2006,73.3,3110
Brazil,2007,73.5,3180
Brazil,2008,73.7,3170
Brazil,2009,73.8,3230
Brazil,2010,74,3290
Canada,1960,71.3,1910
Canada,1961,71.4,1880
Canada,1962,71.5,1950
Canada,1963,71.8,1920
Canada,1964,71.9,1930
Canada,1965,72,1950
Canada,1966,72.2,1970
Canada,1967,72.4,2020
Canada,1968,72.6,2020
Canada,1969,72.8,2090
Canada,1970,73,2070
Canada,1971,73,2020
Canada,1972,73.2,1940
Canada,1973,73.4,1900
Canada,1974,73.6,1600
Canada,1975,74,1520
Canada,1976,74.3,1540
Canada,1977,74.6,1580
Canada,1978,74.9,1620
Canada,1979,75.2,1680
Canada,1980,75.5,1780
Canada,1981,75.8,1810
Canada,1982,76.1,1880
Canada,1983,76.3,1860
Canada,1984,76.4,1800
Canada,1985,76.6,1780
Canada,1986,76.8,1900
Canada,1987,77,1940
Canada,1988,77.2,1890
Canada,1989,77.4,1940
Canada,1990,77.6,2010
Canada,1991,77.8,2040
Canada,1992,77.8,2030
Canada,1993,78,2040
Canada,1994,78.1,2040
Canada,1995,78.4,1900
Canada,1996,78.6,1900
Canada,1997,78.8,1980
Canada,1998,79.1,2050
Canada,1999,79.4,2120
Canada,2000,79.6,2170
Canada,2001,79.8,2260
Canada,2002,80,2260
Canada,2003,80.2,2280
Canada,2004,80.4,2330
Canada,2005,80.7,2380
Canada,2006,80.9,2390
Canada,2007,81.1,2400
Canada,2008,81.4,2420
Canada,2009,81.6,2420
Canada,2010,81.9,2430
China,1960,40.8,2810
China,1961,53.5,2840
China,1962,57.4,2900
China,1963,57.9,2800
China,1964,58.5,2920
China,1965,59,2920
China,1966,59.5,2950
China,1967,59.9,2930
China,1968,60.4,2980
China,1969,60.9,2960
China,1970,61.4,2930
China,1971,61.9,2940
China,1972,62.4,2970
China,1973,62.5,2970
China,1974,62.8,2880
China,1975,62.6,3030
China,1976,63.5,3010
China,1977,63.8,2930
China,1978,64,2930
China,1979,64.4,2950
China,1980,64.7,2900
China,1981,65.3,2960
China,1982,65.7,2920
China,1983,66.1,2990
China,1984,66.6,3040
China,1985,67.1,3090
China,1986,67.3,3140
China,1987,67.5,3020
China,1988,67.7,3040
China,1989,68.1,3020
China,1990,68.4,3040
China,1991,68.7,3090
China,1992,69,3120
China,1993,69.4,3210
China,1994,69.8,3210
China,1995,70.1,3250
China,1996,70.5,3390
China,1997,70.9,3460
China,1998,71.2,3500
China,1999,71.3,3510
China,2000,71.7,3500
China,2001,72,3500
China,2002,72.3,3520
China,2003,72.5,3530
China,2004,73,3480
China,2005,73.7,3470
China,2006,74.2,3480
China,2007,74.3,3470
China,2008,74.7,3440
China,2009,74.9,3450
China,2010,75.3,3470
Colombia,1960,59.5,1420
Colombia,1961,60.1,1530
Colombia,1962,60.9,1590
Colombia,1963,61.5,1670
Colombia,1964,61.6,1800
Colombia,1965,62.1,1870
Colombia,1966,62.4,1820
Colombia,1967,63.1,1760
Colombia,1968,64.4,1730
Colombia,1969,65.9,1840
Colombia,1970,65.9,1850
Colombia,1971,65.1,1830
Colombia,1972,64.9,1900
Colombia,1973,65.3,1890
Colombia,1974,66.3,1910
Colombia,1975,66.8,1880
Colombia,1976,67.8,1910
Colombia,1977,68.2,2060
Colombia,1978,68.5,2080
Colombia,1979,68.9,2150
Colombia,1980,69.2,2160
Colombia,1981,69.6,2330
Colombia,1982,69.8,2400
Colombia,1983,70.2,2430
Colombia,1984,67.2,2430
Colombia,1985,70.2,2420
Colombia,1986,70.2,2440
Colombia,1987,70.6,2420
