Country,Year,LifeExpectancy,FoodSupply
Denmark,2000,77.3,3340
Denmark,2001,77.4,3370
Denmark,2002,77.7,3340
Denmark,2003,78,3380
Denmark,2004,78.3,3410
Denmark,2005,78.5,3410
Denmark,2006,78.7,3450
Denmark,2007,79,3330
Denmark,2008,79.2,3340
Denmark,2009,79.5,3400
Denmark,2010,79.9,3350
Djibouti,2000,60.5,1980
Djibouti,2001,60.6,2050
Djibouti,2002,60.9,2090
Djibouti,2003,61,2140
Djibouti,2004,61.4,2270
Djibouti,2005,61.4,2310
Djibouti,2006,62.1,2410
Djibouti,2007,62.5,2450
Djibouti,2008,62.9,2470
Djibouti,2009,63.2,2470
Djibouti,2010,63.6,2500
Dominica,2000,72.2,3040
Dominica,2001,72.3,2980
Dominica,2002,72.2,3010
Dominica,2003,72.3,2960
Dominica,2004,72.6,2920
Dominica,2005,72.6,2920
Dominica,2006,72.5,3040
Dominica,2007,72.7,3020
Dominica,2008,72.7,3040
Dominica,2009,72.4,2990
Dominica,2010,72.4,2960
Dominican Republic,2000,73.8,2260
Dominican Republic,2001,73.9,2290
Dominican Republic,2002,73.5,2140
Dominican Republic,2003,72.6,2220
Dominican Republic,2004,72.6,2330
Dominican Republic,2005,72.7,2370
Dominican Republic,2006,72.9,2400
Dominican Republic,2007,73.3,2350
Dominican Republic,2008,73.4,2390
Dominican Republic,2009,73.5,2530
Dominican Republic,2010,73.4,2560
Ecuador,2000,75,2220
Ecuador,2001,74.1,2240
Ecuador,2002,73.9,2200
Ecuador,2003,73.9,2230
Ecuador,2004,73.6,2250
Ecuador,2005,73.6,2230
Ecuador,2006,73.7,2210
Ecuador,2007,73.8,2300
Ecuador,2008,74.1,2290
Ecuador,2009,74.3,2350
Ecuador,2010,74.9,2380
Egypt,2000,68.3,3410
Egypt,2001,68.3,3430
Egypt,2002,68.2,3380
Egypt,2003,68.5,3310
Egypt,2004,68.8,3370
Egypt,2005,68.9,3390
Egypt,2006,69.2,3450
Egypt,2007,69.3,3490
Egypt,2008,69.3,3440
Egypt,2009,69.4,3510
Egypt,2010,69.6,3550
El Salvador,2000,73,2630
El Salvador,2001,74.3,2640
El Salvador,2002,73.9,2600
El Salvador,2003,73.6,2570
El Salvador,2004,73.6,2570
El Salvador,2005,73.7,2580
El Salvador,2006,74.1,2570
El Salvador,2007,74.7,2570
El Salvador,2008,74.1,2570
El Salvador,2009,75.2,2520
El Salvador,2010,75.1,2540
Estonia,2000,70.8,3050
Estonia,2001,71.4,3040
Estonia,2002,72.1,3070
Estonia,2003,72.5,3080
Estonia,2004,73,3170
Estonia,2005,73.3,3200
Estonia,2006,73.3,3220
Estonia,2007,74.4,3310
Estonia,2008,75.2,3350
Estonia,2009,76.3,3310
Estonia,2010,76.3,3290
Eswatini,2000,46.3,2310
Eswatini,2001,45,2390
Eswatini,2002,43.9,2440
Eswatini,2003,43.1,2470
Eswatini,2004,43.3,2370
Eswatini,2005,44.1,2330
Eswatini,2006,44.9,2310
Eswatini,2007,45.5,2260
Eswatini,2008,46.4,2250
Eswatini,2009,48,2280
Eswatini,2010,49.8,2280
Ethiopia,2000,53.3,1830
Ethiopia,2001,54.2,1840
Ethiopia,2002,55,1880
Ethiopia,2003,55.9,1880
Ethiopia,2004,57,1980
Ethiopia,2005,58.2,1970
Ethiopia,2006,59.5,1960
Ethiopia,2007,60.8,2020
Ethiopia,2008,61.9,2050
Ethiopia,2009,63,2080
Ethiopia,2010,64,2100
Fiji,2000,66.2,2880
Fiji,2001,66.6,2900
Fiji,2002,66.5,2890
Fiji,2003,67.1,2900
Fiji,2004,67.1,2940
Fiji,2005,67.1,2950
Fiji,2006,67.1,2920
Fiji,2007,67.1,2950
Fiji,2008,67.5,2920
Fiji,2009,67.6,2910
Fiji,2010,67.7,2920
Finland,2000,78.4,3170
Finland,2001,78.6,3150
Finland,2002,78.8,3150
Finland,2003,79,3190
Finland,2004,79.3,3200
Finland,2005,79.6,3240
Finland,2006,79.7,3280
Finland,2007,80,3240
Finland,2008,80.2,3230
Finland,2009,80.4,3280
Finland,2010,80.7,3310
France,2000,79.3,3640
France,2001,79.5,3660
France,2002,79.7,3590
France,2003,80.3,3560
France,2004,80.6,3540
France,2005,80.8,3510
France,2006,81.1,3470
France,2007,81.2,3550
France,2008,81.4,3530
France,2009,81.6,3540
France,2010,81.8,3510
Gabon,2000,59.5,2700
Gabon,2001,59.8,2640
Gabon,2002,59.8,2660
Gabon,2003,60.2,2680
Gabon,2004,61.1,2720
Gabon,2005,61.7,2720
Gabon,2006,62,2710
Gabon,2007,62.2,2650
Gabon,2008,62.7,2700
Gabon,2009,63.3,2730
Gabon,2010,63.7,2770
Gambia,2000,61.7,2520
Gambia,2001,61.7,2460
Gambia,2002,61.8,2460
Gambia,2003,62,2470
Gambia,2004,62.2,2440
Gambia,2005,62.4,2400
Gambia,2006,62.6,2540
Gambia,2007,62.9,2590
Gambia,2008,63.3,2620
Gambia,2009,63.7,2670
Gambia,2010,64.2,2690
Georgia,2000,70.8,2640
Georgia,2001,70.4,2750
Georgia,2002,70.6,2860
Georgia,2003,70.7,2900
Georgia,2004,71,2980
Georgia,2005,71.5,2860
Georgia,2006,72,2900
Georgia,2007,71.5,2980
Georgia,2008,71.7,2950
Georgia,2009,71.9,2850
Georgia,2010,72.2,2810
Germany,2000,78.7,3360
Germany,2001,78.8,3430
Germany,2002,78.9,3390
Germany,2003,79.3,3410
Germany,2004,79.6,3450
Germany,2005,79.9,3470
Germany,2006,80,3530
Germany,2007,80.2,3520
Germany,2008,80.3,3520
Germany,2009,80.5,3500
Germany,2010,80.7,3540
Ghana,2000,59.5,2560
Ghana,2001,59.5,2660
Ghana,2002,59.6,2670
Ghana,2003,59.8,2680
Ghana,2004,60,2750
Ghana,2005,60.3,2820
Ghana,2006,60.5,2800
Ghana,2007,61,2950
Ghana,2008,61.3,3030
Ghana,2009,61.8,3080
Ghana,2010,62.4,3000
Greece,2000,78.7,3610
Greece,2001,78.9,3640
Greece,2002,79.1,3650
Greece,2003,79.2,3720
Greece,2004,79.4,3590
Greece,2005,79.7,3490
Greece,2006,79.6,3510
Greece,2007,80,3520
Greece,2008,80.2,3510
Greece,2009,80.4,3440
Greece,2010,80.5,3430
Grenada,2000,72.1,2290
Grenada,2001,72.1,2310
Grenada,2002,72.2,2310
Grenada,2003,71.8,2380
Grenada,2004,72.4,2370
Grenada,2005,72.5,2400
Grenada,2006,72.6,2400
Grenada,2007,72.5,2430
Grenada,2008,72.5,2430
Grenada,2009,72.5,2430
Grenada,2010,72.6,2420
Guatemala,2000,67.2,2220
Guatemala,2001,67.8,2360
Guatemala,2002,68.1,2350
Guatemala,2003,68.4,2320
Guatemala,2004,68.4,2380
Guatemala,2005,68.9,2420
Guatemala,2006,69.5,2450
Guatemala,2007,69.9,2380
Guatemala,2008,69.9,2460
Guatemala,2009,70.3,2430
Guatemala,2010,70.7,2490
Guinea,2000,54.7,2330
Guinea,2001,55.1,2360
Guinea,2002,55.4,2400
Guinea,2003,55.7,2430
Guinea,2004,56,2440
Guinea,2005,56.3,2500
Guinea,2006,56.5,2510
Guinea,2007,56.9,2530
Guinea,2008,57.1,2550
Guinea,2009,57.6,2550
Guinea,2010,57.9,2550
Guinea-Bissau,2000,51.8,2280
Guinea-Bissau,2001,52.1,2270
Guinea-Bissau,2002,52.4,2230
Guinea-Bissau,2003,52.7,2260
Guinea-Bissau,2004,52.8,2270
Guinea-Bissau,2005,53.6,2250
Guinea-Bissau,2006,54.3,2290
Guinea-Bissau,2007,54.8,2300
Guinea-Bissau,2008,55.5,2280
Guinea-Bissau,2009,56.2,2350
Guinea-Bissau,2010,56.9,2340
Guyana,2000,63.9,2760
Guyana,2001,63.9,2730
Guyana,2002,64.1,2710
Guyana,2003,64.3,2690
Guyana,2004,64.4,2690
Guyana,2005,65,2660
Guyana,2006,65.2,2660
Guyana,2007,65.3,2600
Guyana,2008,65.9,2620
Guyana,2009,65.8,2640
Guyana,2010,65.7,2640
Haiti,2000,57.8,1900
Haiti,2001,58.2,1900
Haiti,2002,58.5,1870
Haiti,2003,57.5,1890
Haiti,2004,59,1880
Haiti,2005,59.5,1940
Haiti,2006,60,1970
Haiti,2007,60.2,2010
Haiti,2008,60.7,2060
Haiti,2009,32.5,2170
Haiti,2010,60,2100
Honduras,2000,70.2,2450
Honduras,2001,70.4,2470
Honduras,2002,70.5,2480
Honduras,2003,70.7,2480
Honduras,2004,70.9,2490
Honduras,2005,71.1,2530
Honduras,2006,71.2,2570
Honduras,2007,71.3,2600
Honduras,2008,71.3,2600
Honduras,2009,71.1,2600
Honduras,2010,71,2620
"Hong Kong, China",2000,80.7,3080
"Hong Kong, China",2001,81.1,3130
"Hong Kong, China",2002,81.4,3180
"Hong Kong, China",2003,81.7,3210
"Hong Kong, China",2004,81.9,3220
"Hong Kong, China",2005,82.1,3250
"Hong Kong, China",2006,82.3,3250
"Hong Kong, China",2007,82.5,3240
"Hong Kong, China",2008,82.7,3260
"Hong Kong, China",2009,82.8,3260
"Hong Kong, China",2010,83,3260
Hungary,2000,72.5,3090
Hungary,2001,72.6,3080
Hungary,2002,72.7,3060
Hungary,2003,73.1,3190
Hungary,2004,73.1,3270
Hungary,2005,73.5,3280
Hungary,2006,73.6,3160
Hungary,2007,74.2,3150
