Country,Year,ParticulateMatter,Population
China,2010,69.47957041,1380000000
China,2011,70.54202883,1380000000
China,2012,63.82701684,1390000000
China,2013,65.51455022,1400000000
China,2014,59.76736751,1410000000
China,2015,59.06342246,1410000000
China,2016,52.21132204,1420000000
China,2017,52.66459583,1430000000
Indonesia,2010,18.16928033,245000000
Indonesia,2011,18.04965117,248000000
Indonesia,2012,18.17016951,252000000
Indonesia,2013,16.87918132,255000000
Indonesia,2014,16.45463183,258000000
Indonesia,2015,16.64028042,262000000
Indonesia,2016,16.38415363,265000000
Indonesia,2017,16.5026533,268000000
India,2010,95.75817945,1250000000
India,2011,97.59937863,1270000000
India,2012,88.1694406,1280000000
India,2013,91.80479161,1300000000
India,2014,89.62238269,1310000000
India,2015,89.3033343,1320000000
India,2016,89.67217693,1340000000
India,2017,90.87321047,1350000000
Pakistan,2010,68.00519044,183000000
Pakistan,2011,68.54493561,187000000
Pakistan,2012,62.37664629,191000000
Pakistan,2013,61.02216287,195000000
Pakistan,2014,59.51836271,199000000
Pakistan,2015,60.08589291,204000000
Pakistan,2016,58.63276393,208000000
Pakistan,2017,58.28241877,212000000
United States,2010,9.35863641,312000000
United States,2011,9.740640607,314000000
United States,2012,9.00316337,316000000
United States,2013,8.734777211,319000000
United States,2014,8.220720319,321000000
United States,2015,8.063920222,323000000
United States,2016,7.406464089,325000000
United States,2017,7.409441662,327000000
